EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Distance Group,Salary_hike_Group
348,47,0,Frequent,Sales,4,1,Medical,2,Male,3,2,Sales Representative,3,Single,2976,3,0,19,3,1,0,5,3,3,0,0,0,0,Senior,Near,medium
349,42,0,rare,Research & Development,23,5,Life Sciences,1,Female,3,4,Research Director,4,Single,15992,2,0,14,3,2,0,16,2,3,1,0,0,0,Mid Career,Far,low
350,29,0,Non,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Married,4649,1,0,14,3,1,1,4,3,2,4,3,0,2,Early Career,Near,low
351,42,0,rare,Human Resources,2,1,Technical Degree,3,Male,3,1,Human Resources,3,Divorced,2696,0,1,11,3,3,1,4,5,3,3,2,1,0,Mid Career,Near,low
352,32,0,rare,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,2,Married,2370,1,0,13,3,3,1,8,4,3,8,0,0,7,Early Career,Near,low
353,48,0,rare,Sales,29,1,Medical,1,Female,3,3,Manager,3,Married,12504,3,0,21,4,2,1,15,3,1,0,0,0,0,Senior,Far,medium
354,37,0,rare,Research & Development,6,3,Medical,3,Male,4,2,Research Scientist,1,Divorced,5974,4,1,13,3,1,2,13,2,3,7,7,6,7,Mid Career,Medium,low
355,30,0,Non,Sales,25,2,Technical Degree,4,Female,3,2,Sales Executive,3,Married,4736,7,1,12,3,2,1,4,2,4,2,2,2,2,Early Career,Far,low
356,26,0,rare,Sales,1,3,Life Sciences,3,Male,3,2,Sales Executive,3,Married,5296,1,0,17,3,2,1,8,3,3,8,7,7,7,Early Career,Near,medium
357,42,0,rare,Research & Development,2,4,Other,1,Male,2,2,Healthcare Representative,4,Single,6781,3,0,23,4,2,0,14,6,3,1,0,0,0,Mid Career,Near,high
358,21,1,Frequent,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,2174,1,1,11,3,3,0,3,3,3,3,2,1,2,Young,Near,low
359,36,0,Non,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,6653,4,0,15,3,2,0,7,6,3,1,0,0,0,Mid Career,Near,low
360,36,0,Frequent,Sales,3,4,Medical,1,Male,2,3,Sales Executive,4,Married,9699,4,0,11,3,1,1,16,2,3,13,9,1,12,Mid Career,Near,low
361,57,0,rare,Research & Development,1,4,Medical,4,Male,3,2,Healthcare Representative,3,Married,6755,2,0,11,3,3,0,15,2,3,3,2,1,2,Late Career,Near,low
362,40,0,rare,Research & Development,10,4,Life Sciences,4,Female,4,1,Laboratory Technician,3,Married,2213,3,1,13,3,3,1,10,3,3,7,7,1,7,Mid Career,Medium,low
363,21,0,Non,Sales,9,2,Medical,1,Male,3,1,Sales Representative,4,Single,2610,1,0,24,4,3,0,3,3,2,3,2,2,2,Young,Medium,high
364,33,1,rare,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,3,Single,2851,1,1,13,3,2,0,1,2,3,1,0,0,0,Early Career,Near,low
365,37,0,rare,Research & Development,10,3,Medical,3,Female,3,1,Laboratory Technician,1,Married,3452,6,0,20,4,2,1,17,3,3,5,4,0,3,Mid Career,Medium,medium
366,46,0,Non,Research & Development,7,4,Medical,3,Female,3,2,Manufacturing Director,3,Married,5258,2,0,14,3,3,0,7,2,4,1,0,0,0,Senior,Medium,low
367,41,1,Frequent,Sales,4,3,Marketing,1,Male,3,2,Sales Executive,2,Single,9355,1,0,18,3,3,0,8,5,3,8,7,7,7,Mid Career,Near,medium
368,50,0,rare,Research & Development,10,3,Technical Degree,4,Male,2,3,Healthcare Representative,4,Single,10496,6,0,15,3,4,0,20,2,3,4,3,1,3,Senior,Medium,low
369,40,1,rare,Sales,22,2,Marketing,3,Male,2,2,Sales Executive,3,Married,6380,2,1,12,3,1,2,8,6,3,6,4,1,0,Mid Career,Far,low
370,31,0,rare,Research & Development,9,4,Life Sciences,3,Male,2,1,Research Scientist,2,Single,2657,0,1,16,3,4,0,3,5,3,2,2,2,2,Early Career,Medium,medium
371,21,1,rare,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,2716,1,0,15,3,4,0,1,0,3,1,0,0,0,Young,Medium,low
372,29,0,rare,Research & Development,23,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,2201,9,0,16,3,4,0,6,4,3,3,2,1,2,Early Career,Far,medium
373,35,0,rare,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,6540,9,0,19,3,3,0,10,5,3,1,1,0,0,Early Career,Medium,medium
374,27,0,rare,Research & Development,1,2,Medical,4,Male,3,1,Laboratory Technician,2,Divorced,3816,1,0,11,3,2,1,5,2,3,5,2,0,4,Early Career,Near,low
375,28,0,rare,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,5253,1,0,16,3,4,0,7,1,3,7,5,0,7,Early Career,Medium,medium
376,49,0,rare,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,10965,8,0,24,4,3,0,26,2,3,5,2,0,0,Senior,Medium,high
377,51,0,rare,Sales,14,2,Life Sciences,3,Female,3,2,Sales Executive,4,Married,4936,4,0,11,3,3,1,18,2,2,7,7,0,7,Senior,Medium,low
378,36,0,rare,Research & Development,2,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2543,4,0,13,3,2,1,6,3,3,2,2,2,2,Mid Career,Near,low
379,34,1,Non,Sales,19,3,Marketing,1,Male,4,2,Sales Executive,4,Single,5304,8,1,13,3,2,0,9,3,2,5,2,0,4,Early Career,Far,low
380,55,0,rare,Research & Development,2,3,Life Sciences,3,Female,3,4,Manager,4,Single,16659,2,1,13,3,3,0,30,2,3,5,4,1,2,Senior,Near,low
381,24,0,rare,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,4260,1,1,12,3,4,1,5,2,4,5,2,0,3,Young,Medium,low
382,30,0,rare,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,2476,1,0,18,3,1,1,1,3,3,1,0,0,0,Early Career,Near,medium
383,26,1,Frequent,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,3102,0,0,22,4,3,0,7,2,3,6,4,0,4,Early Career,Near,high
384,22,0,rare,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,2244,1,0,13,3,4,1,2,1,3,2,1,1,2,Young,Medium,low
385,36,0,rare,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,7596,1,0,13,3,2,2,10,2,3,10,9,9,0,Mid Career,Near,low
386,30,1,Frequent,Research & Development,4,3,Technical Degree,3,Male,3,1,Research Scientist,4,Single,2285,9,1,23,4,3,0,3,4,3,1,0,0,0,Early Career,Near,high
387,37,0,rare,Research & Development,14,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,3034,1,0,12,3,3,1,18,2,2,18,7,12,17,Mid Career,Medium,low
388,40,0,rare,Sales,2,2,Marketing,4,Female,3,2,Sales Executive,2,Divorced,5715,7,0,12,3,3,2,8,5,3,5,4,1,3,Mid Career,Near,low
389,42,0,rare,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,2576,3,0,16,3,2,1,8,5,3,5,2,1,2,Mid Career,Near,medium
390,37,0,rare,Research & Development,10,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,Single,4197,2,1,12,3,4,0,18,2,2,1,0,0,1,Mid Career,Medium,low
391,43,0,rare,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,14336,1,0,11,3,3,1,25,3,3,25,10,3,9,Mid Career,Medium,low
392,40,0,rare,Research & Development,2,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,3448,6,0,22,4,2,1,20,3,3,1,0,0,0,Mid Career,Near,high
393,54,0,rare,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,19406,4,0,11,3,3,1,24,4,2,4,2,1,2,Senior,Near,low
394,34,0,Non,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,6538,9,0,15,3,1,1,6,3,3,3,2,1,2,Early Career,Near,low
395,31,0,rare,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,4306,1,0,12,3,2,1,13,5,1,13,10,3,12,Early Career,Medium,low
396,43,0,Frequent,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,2258,7,0,20,4,1,1,8,1,3,3,2,1,2,Mid Career,Far,medium
397,43,0,rare,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,4522,4,1,14,3,4,0,8,3,3,5,2,0,2,Mid Career,Medium,low
398,25,0,rare,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,4487,1,1,11,3,2,0,5,3,3,5,4,1,3,Young,Near,low
399,37,0,Non,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,4449,3,1,15,3,1,2,15,2,3,13,11,10,7,Mid Career,Far,low
400,31,0,rare,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,2218,1,0,12,3,3,1,4,3,3,4,2,3,2,Early Career,Near,low
401,39,0,Frequent,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,19197,1,1,14,3,3,1,21,3,3,21,8,1,6,Mid Career,Near,low
402,56,0,Frequent,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,13212,9,0,11,3,4,3,36,0,2,7,7,7,7,Late Career,Medium,low
403,30,0,rare,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,6577,0,0,11,3,2,0,6,6,3,5,4,4,4,Early Career,Medium,low
404,41,0,rare,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,8392,1,0,16,3,3,1,10,2,3,10,7,0,7,Mid Career,Near,medium
405,28,0,rare,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,4558,1,0,12,3,4,1,10,2,3,10,0,1,8,Early Career,Far,low
406,25,1,rare,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,4031,5,0,13,3,3,1,6,5,3,2,2,0,2,Young,Near,low
407,52,0,rare,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,7969,2,1,14,3,3,0,28,4,3,5,4,0,4,Senior,Near,low
408,45,0,rare,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,2654,3,0,21,4,4,2,8,3,2,2,2,0,2,Mid Career,Medium,medium
409,52,0,rare,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,16555,2,0,13,3,4,0,31,2,1,5,2,1,4,Senior,Near,low
410,42,0,Frequent,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,4556,2,0,11,3,2,1,19,3,3,5,4,0,2,Mid Career,Far,low
411,30,0,rare,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,6091,2,0,20,4,3,0,11,2,3,5,4,0,2,Early Career,Near,medium
412,60,0,rare,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,19566,5,0,11,3,4,0,33,5,1,29,8,11,10,Late Career,Medium,low
413,46,0,rare,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,0,14,3,3,1,19,5,2,10,7,0,8,Senior,Far,low
414,42,0,Frequent,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,4523,0,0,11,3,4,3,7,4,4,6,5,0,4,Mid Career,Far,low
415,24,1,rare,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,3202,1,1,16,3,2,0,6,4,3,5,3,1,4,Young,Near,medium
416,34,1,Frequent,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,2351,0,0,16,3,4,1,3,3,2,2,2,1,0,Early Career,Medium,medium
417,38,0,Frequent,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,1,1,23,4,3,1,1,3,3,1,0,0,0,Mid Career,Near,high
418,40,0,rare,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,18041,0,0,14,3,4,0,21,2,3,20,15,1,12,Mid Career,Near,low
419,26,0,rare,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,1,0,22,4,2,2,3,3,1,3,2,0,2,Early Career,Far,high
420,30,0,Non,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,4,0,15,3,3,1,9,3,1,5,3,1,4,Early Career,Near,low
421,29,0,rare,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,11935,1,0,18,3,3,0,10,2,3,10,2,0,7,Early Career,Near,medium
422,29,1,rare,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,2546,5,0,16,3,2,0,6,2,4,2,2,1,1,Early Career,Far,medium
423,19,1,rare,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,1,0,12,3,3,0,1,3,4,1,0,0,0,Young,Near,low
424,30,0,Non,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,8412,0,0,11,3,3,0,10,3,3,9,8,7,8,Early Career,Far,low
425,57,0,rare,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,14118,3,0,12,3,3,1,32,3,2,1,0,0,0,Late Career,Far,low
426,50,0,rare,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,17046,0,0,15,3,2,1,28,2,3,27,10,15,7,Senior,Far,low
427,30,0,Non,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,0,14,3,3,0,12,2,2,11,7,6,7,Early Career,Near,low
428,60,0,Frequent,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,10266,4,0,19,3,4,0,22,5,4,18,13,13,11,Late Career,Far,medium
429,47,0,rare,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5070,5,0,13,3,3,3,20,2,3,5,0,0,4,Senior,Near,low
430,46,0,rare,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,17861,6,0,13,3,3,0,26,2,1,3,2,0,1,Senior,Near,low
431,35,0,rare,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,4230,0,0,15,3,3,0,6,2,3,5,4,4,3,Early Career,Far,low
432,54,0,rare,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,3780,7,0,11,3,3,0,19,3,3,1,0,0,0,Senior,Medium,low
433,34,0,rare,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,3,0,12,3,3,1,14,3,3,7,3,5,7,Early Career,Near,low
434,46,0,rare,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,9071,2,1,19,3,3,1,15,3,3,3,2,1,2,Senior,Medium,medium
435,31,0,rare,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,0,25,4,4,1,13,6,4,13,8,0,8,Early Career,Medium,high
436,33,1,rare,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,13610,7,1,12,3,4,0,15,2,4,7,6,7,7,Early Career,Medium,low
437,33,1,rare,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,3408,7,0,13,3,1,3,8,2,3,4,3,1,3,Early Career,Medium,low
438,30,0,rare,Sales,7,1,Marketing,4,Male,3,1,Sales Representative,2,Single,2983,0,0,14,3,1,0,4,3,3,3,2,1,2,Early Career,Medium,low
439,35,0,rare,Research & Development,16,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,Married,7632,4,1,12,3,3,0,10,2,3,8,7,0,0,Early Career,Far,low
440,31,1,Frequent,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,9824,3,0,12,3,1,0,12,2,3,1,0,0,0,Early Career,Far,low
441,34,1,Frequent,Human Resources,23,3,Human Resources,2,Female,3,3,Human Resources,1,Divorced,9950,9,1,15,3,3,3,11,2,3,3,2,0,2,Early Career,Far,low
442,42,0,Frequent,Research & Development,5,2,Other,2,Male,3,1,Laboratory Technician,3,Married,2093,4,0,17,3,4,1,8,4,3,2,2,2,0,Mid Career,Near,medium
443,36,0,Non,Sales,10,4,Medical,2,Male,3,3,Sales Executive,4,Single,9980,1,0,14,3,4,0,10,3,2,10,3,9,7,Mid Career,Medium,low
444,22,1,Frequent,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,3894,5,0,16,3,3,0,4,3,3,2,2,1,2,Young,Near,medium
445,48,0,rare,Sales,2,5,Marketing,2,Female,3,2,Sales Executive,4,Married,4051,2,0,14,3,1,1,14,2,3,9,7,6,7,Senior,Near,low
446,55,0,rare,Sales,18,5,Life Sciences,1,Female,3,4,Manager,2,Single,16835,3,0,23,4,4,0,37,2,3,10,9,7,7,Senior,Far,high
447,41,0,Non,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,6230,7,0,14,3,4,0,16,3,3,14,3,1,10,Mid Career,Medium,low
448,35,0,rare,Sales,1,3,Marketing,2,Male,3,2,Sales Executive,3,Married,4717,9,0,11,3,3,0,15,2,3,11,9,6,9,Early Career,Near,low
449,40,0,rare,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,13237,7,0,15,3,3,0,22,3,3,20,6,5,13,Mid Career,Medium,low
450,39,0,Frequent,Research & Development,8,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,Married,3755,1,0,11,3,1,1,8,3,3,8,3,0,7,Mid Career,Medium,low
451,31,0,rare,Sales,2,1,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6582,4,1,13,3,3,0,10,2,4,6,5,0,5,Early Career,Near,low
452,42,0,rare,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,7406,1,1,21,4,4,1,10,5,2,10,9,5,8,Mid Career,Far,medium
453,45,0,rare,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,4805,0,0,19,3,2,1,9,3,4,8,7,3,7,Mid Career,Near,medium
454,26,1,Frequent,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,2741,0,1,11,3,2,1,8,2,2,7,7,1,0,Early Career,Far,low
455,29,0,rare,Research & Development,19,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,4262,4,0,12,3,2,2,8,2,4,3,2,1,2,Early Career,Far,low
456,33,0,rare,Research & Development,1,5,Medical,1,Female,4,4,Research Director,3,Divorced,16184,4,0,19,3,3,1,10,2,3,6,1,0,5,Early Career,Near,medium
457,31,0,rare,Sales,7,3,Life Sciences,3,Male,2,3,Manager,4,Divorced,11557,9,0,21,4,3,1,10,3,2,5,4,0,1,Early Career,Medium,medium
458,18,1,Frequent,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,1,1,14,3,4,0,0,3,3,0,0,0,0,Young,Near,low
459,40,0,Non,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,10932,3,0,15,3,3,1,20,2,3,1,0,0,1,Mid Career,Far,low
460,41,0,Non,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,6811,2,1,17,3,1,0,10,3,3,8,7,0,7,Mid Career,Near,medium
461,26,0,rare,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,5,0,12,3,1,2,8,5,3,0,0,0,0,Early Career,Far,low
462,35,0,rare,Sales,1,3,Medical,1,Female,3,2,Sales Executive,3,Single,4859,1,0,16,3,4,0,5,3,3,5,4,0,3,Early Career,Near,medium
463,34,0,rare,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,5337,1,0,12,3,4,0,10,3,3,10,7,5,7,Early Career,Far,low
464,26,1,rare,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,2340,1,1,18,3,2,0,1,3,1,1,0,0,0,Early Career,Far,medium
465,37,0,rare,Research & Development,1,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,Single,7491,4,0,17,3,4,0,12,3,4,6,5,1,2,Mid Career,Near,medium
466,46,0,Frequent,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,10527,5,0,11,3,4,0,28,3,2,2,2,1,2,Senior,Far,low
467,41,0,rare,Sales,2,5,Life Sciences,2,Female,3,4,Manager,1,Married,16595,7,0,16,3,2,1,22,2,3,18,16,11,8,Mid Career,Near,medium
468,37,0,Non,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,8834,1,0,13,3,4,1,9,6,3,9,5,7,7,Mid Career,Medium,low
469,52,0,rare,Research & Development,6,2,Technical Degree,4,Male,3,2,Research Scientist,1,Divorced,5577,3,1,12,3,2,2,18,3,3,10,9,6,9,Senior,Medium,low
470,32,1,Non,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,4707,8,0,12,3,4,0,6,2,3,4,2,1,2,Early Career,Medium,low
471,24,0,Frequent,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,2400,0,0,13,3,3,2,3,3,3,2,2,2,1,Young,Far,low
472,38,0,rare,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,9824,3,0,19,3,3,1,18,4,3,1,0,0,0,Mid Career,Medium,medium
473,37,0,rare,Research & Development,1,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,Married,6447,6,0,12,3,2,1,8,2,2,6,5,4,3,Mid Career,Near,low
474,49,0,rare,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,19502,1,1,17,3,3,1,31,5,3,31,9,0,9,Senior,Far,medium
475,24,0,rare,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,2725,1,1,11,3,2,2,6,3,3,6,5,1,4,Young,Far,low
476,26,0,rare,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,6272,1,0,20,4,4,2,6,5,4,5,3,1,4,Early Career,Far,medium
477,24,0,rare,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,2127,1,0,21,4,4,1,1,2,3,1,0,0,0,Young,Far,medium
478,50,0,Frequent,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,18200,1,0,11,3,3,1,32,2,3,32,5,10,7,Senior,Near,low
479,25,0,rare,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,2096,1,0,11,3,3,0,7,1,3,7,4,0,6,Young,Medium,low
480,24,1,Frequent,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,2886,1,1,16,3,4,1,6,4,3,6,3,1,2,Young,Medium,medium
481,30,1,Frequent,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,2033,1,0,18,3,3,1,1,2,4,1,0,0,0,Early Career,Medium,medium
482,34,0,rare,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,4,Married,3622,1,1,13,3,4,1,6,3,3,6,5,1,3,Early Career,Near,low
483,31,1,rare,Sales,13,4,Medical,2,Male,3,2,Sales Executive,1,Divorced,4233,2,0,17,3,3,0,9,2,1,3,1,1,2,Early Career,Medium,medium
484,35,0,rare,Research & Development,25,2,Other,1,Male,2,2,Laboratory Technician,4,Single,3681,4,0,14,3,4,0,9,3,3,3,2,0,2,Early Career,Far,low
485,31,0,rare,Sales,6,4,Medical,1,Male,4,2,Sales Executive,4,Divorced,5460,4,0,22,4,4,2,13,4,4,7,7,5,7,Early Career,Medium,high
486,27,0,rare,Research & Development,6,4,Medical,1,Female,2,1,Research Scientist,3,Divorced,2187,0,0,12,3,3,2,6,5,2,5,3,0,3,Early Career,Medium,low
487,37,0,rare,Sales,2,3,Marketing,4,Male,3,2,Sales Executive,3,Married,9602,4,1,11,3,3,1,17,3,2,3,0,1,0,Mid Career,Near,low
488,20,0,rare,Research & Development,1,3,Life Sciences,4,Female,2,1,Research Scientist,2,Single,2836,1,0,13,3,4,0,1,0,4,1,0,0,0,Young,Near,low
489,42,0,rare,Research & Development,2,4,Life Sciences,3,Female,3,2,Healthcare Representative,4,Married,4089,1,0,13,3,2,2,10,4,3,10,2,2,2,Mid Career,Near,low
490,43,0,rare,Research & Development,6,4,Other,2,Male,2,4,Research Director,4,Divorced,16627,4,1,14,3,3,1,21,3,2,1,0,0,0,Mid Career,Medium,low
491,38,0,rare,Research & Development,1,1,Life Sciences,3,Female,3,1,Research Scientist,1,Single,2619,3,0,17,3,4,0,8,3,2,0,0,0,0,Mid Career,Near,medium
492,43,0,Frequent,Research & Development,9,5,Medical,4,Male,3,2,Laboratory Technician,3,Divorced,5679,3,1,13,3,2,1,10,3,3,8,7,4,7,Mid Career,Medium,low
493,48,0,rare,Research & Development,1,4,Life Sciences,4,Female,2,4,Manager,1,Married,15402,7,0,11,3,1,1,21,3,1,3,2,0,2,Senior,Near,low
494,44,0,rare,Human Resources,1,4,Life Sciences,1,Female,2,2,Human Resources,3,Single,5985,4,0,11,3,2,0,10,1,4,2,2,0,2,Mid Career,Near,low
495,34,0,rare,Sales,14,3,Technical Degree,3,Female,3,1,Sales Representative,3,Divorced,2579,1,1,18,3,4,2,8,3,3,8,2,0,6,Early Career,Medium,medium
496,27,1,rare,Sales,2,1,Marketing,3,Male,3,1,Sales Representative,1,Divorced,3041,0,0,11,3,2,1,5,3,3,4,3,0,2,Early Career,Near,low
497,21,0,rare,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3447,1,0,11,3,3,0,3,2,3,3,2,1,2,Young,Far,low
498,44,0,rare,Research & Development,3,4,Other,4,Male,3,5,Manager,4,Married,19513,4,1,12,3,1,1,26,2,4,2,2,0,1,Mid Career,Near,low
499,22,0,rare,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,2773,0,0,20,4,4,0,3,3,3,2,2,2,2,Young,Medium,medium
500,33,0,rare,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,3,Divorced,7104,0,0,12,3,4,0,6,3,3,5,0,1,2,Early Career,Medium,low
501,32,0,rare,Research & Development,9,4,Life Sciences,1,Female,3,2,Research Scientist,4,Married,6322,1,1,12,3,4,1,6,2,2,6,4,0,5,Early Career,Medium,low
502,30,0,Frequent,Research & Development,3,3,Medical,3,Female,3,1,Research Scientist,3,Divorced,2083,1,0,20,4,3,1,1,2,3,1,0,0,0,Early Career,Near,medium
503,53,0,rare,Sales,1,1,Medical,4,Female,3,2,Sales Executive,1,Single,8381,7,0,20,4,4,0,18,2,4,14,7,8,10,Senior,Near,medium
504,34,0,rare,Research & Development,1,5,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2691,1,0,12,3,4,1,10,4,2,10,9,8,8,Early Career,Near,low
505,45,1,Frequent,Sales,26,4,Life Sciences,1,Female,3,2,Sales Executive,1,Married,4286,2,0,14,3,4,2,5,4,3,1,1,0,0,Mid Career,Far,low
506,26,0,rare,Research & Development,6,3,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2659,1,1,13,3,3,1,3,2,3,3,2,0,2,Early Career,Medium,low
507,37,0,rare,Research & Development,3,3,Other,3,Male,3,3,Manufacturing Director,3,Married,9434,1,0,15,3,3,1,10,2,3,10,7,7,8,Mid Career,Near,low
